epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63823,0.77276,2.30714,1.05978,0.88027,0.59613,0.80456,0.65079,0.57561,1.86092,0.80063,0.00026,0.00026,0.00026
2,17.2073,0.69059,0.96198,0.97282,0.92392,0.93243,0.97066,0.82628,0.56508,1.12984,0.79988,0.000529308,0.000529308,0.000529308
3,25.1311,0.71479,0.81087,0.97781,0.98457,0.89189,0.95843,0.76098,0.69977,0.93747,0.89923,0.000787528,0.000787528,0.000787528
4,32.8627,0.73266,0.80214,0.97486,0.91713,0.91892,0.9393,0.76625,0.64166,1.24286,0.88593,0.00103466,0.00103466,0.00103466
5,40.6927,0.71449,0.75938,0.98867,0.88748,0.82432,0.86995,0.63445,0.88411,1.38001,1.07513,0.0012707,0.0012707,0.0012707
6,48.326,0.69639,0.76318,0.97627,0.70751,0.63514,0.74301,0.46333,0.92954,1.58318,1.12145,0.00149566,0.00149566,0.00149566
7,56.0233,0.68658,0.72977,0.97099,0.95614,0.90541,0.96421,0.82724,0.60947,0.98147,0.90073,0.00170953,0.00170953,0.00170953
8,75.0989,0.6782,0.73028,0.97757,0.86127,0.87838,0.91084,0.7125,0.70494,1.01055,0.96985,0.0017228,0.0017228,0.0017228
9,97.9753,0.65863,0.68938,0.98063,0.86934,0.86486,0.9052,0.73444,0.72392,0.99738,0.94112,0.0016832,0.0016832,0.0016832
10,120.841,0.68845,0.70565,0.99343,0.5565,0.95946,0.77039,0.51248,0.84879,1.26354,1.00274,0.0016436,0.0016436,0.0016436
11,143.2,0.6581,0.69956,0.9872,0.9901,0.89189,0.98053,0.78925,0.66174,0.82453,0.92321,0.001604,0.001604,0.001604
12,165.733,0.62306,0.64829,0.95328,0.95111,0.97297,0.98703,0.84055,0.58625,0.65836,0.86658,0.0015644,0.0015644,0.0015644
13,185.553,0.62816,0.62454,0.9607,0.94689,0.96381,0.9867,0.84792,0.59229,0.66386,0.88692,0.0015248,0.0015248,0.0015248
14,193.499,0.59961,0.60371,0.95944,0.94747,0.97503,0.98386,0.85399,0.53346,0.63691,0.86844,0.0014852,0.0014852,0.0014852
15,201.081,0.65004,0.62212,0.96237,0.91233,0.98649,0.98253,0.8394,0.56297,0.6154,0.88986,0.0014456,0.0014456,0.0014456
16,212.996,0.60612,0.57463,0.9384,0.9594,1,0.98958,0.87087,0.5579,0.56092,0.8791,0.001406,0.001406,0.001406
17,235.489,0.5587,0.52985,0.92953,0.94832,0.99199,0.97559,0.85,0.58823,0.60693,0.8889,0.0013664,0.0013664,0.0013664
18,258.101,0.59883,0.5501,0.95652,0.95944,0.97297,0.98762,0.87842,0.52615,0.54902,0.85566,0.0013268,0.0013268,0.0013268
19,280.703,0.59532,0.55467,0.96262,0.9565,0.97297,0.98956,0.88669,0.51711,0.54465,0.86656,0.0012872,0.0012872,0.0012872
20,303.153,0.5828,0.5232,0.93243,0.93536,1,0.98673,0.88208,0.48418,0.52219,0.84708,0.0012476,0.0012476,0.0012476
21,325.978,0.58434,0.52365,0.93525,0.92939,0.98649,0.98845,0.87026,0.54569,0.52608,0.87122,0.001208,0.001208,0.001208
22,348.626,0.57278,0.50691,0.95712,0.97949,0.97297,0.99315,0.87934,0.52596,0.45963,0.86111,0.0011684,0.0011684,0.0011684
23,371.244,0.57218,0.48112,0.93639,0.98624,0.96889,0.99212,0.87532,0.54479,0.51404,0.86645,0.0011288,0.0011288,0.0011288
24,394.128,0.56552,0.48951,0.93816,0.95645,0.97297,0.99182,0.88041,0.50014,0.5018,0.85283,0.0010892,0.0010892,0.0010892
25,416.709,0.56305,0.49001,0.95085,0.98689,0.95946,0.99106,0.88837,0.45823,0.47622,0.84035,0.0010496,0.0010496,0.0010496
26,439.626,0.52852,0.45584,0.93596,0.97638,0.95946,0.99129,0.90996,0.46193,0.45607,0.8331,0.00101,0.00101,0.00101
27,462.676,0.50996,0.45497,0.92468,0.97189,0.93442,0.98148,0.90914,0.43541,0.46838,0.82545,0.0009704,0.0009704,0.0009704
28,485.863,0.49736,0.48102,0.92127,0.99412,0.97297,0.99263,0.88596,0.47687,0.47307,0.84618,0.0009308,0.0009308,0.0009308
