epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48405,0.96257,2.70731,1.1061,0.00477,1,0.4871,0.3731,0.8492,2.7121,0.95623,0.0002,0.0002,0.0002
2,12.6751,0.96101,1.2262,1.02528,0.86208,0.24545,0.82941,0.57572,0.91268,2.19118,0.95082,0.000411684,0.000411684,0.000411684
3,18.8124,0.97602,1.00509,1.05505,0.94732,0.70517,0.93599,0.63306,1.05573,1.82867,0.99834,0.000614656,0.000614656,0.000614656
4,24.9826,0.9732,0.95838,1.02643,1,0.54802,0.90831,0.63107,1.00334,2.1832,1.08234,0.000808916,0.000808916,0.000808916
5,31.1151,0.99285,0.89285,1.05851,0.95227,0.78239,0.95677,0.70831,0.93944,1.94369,1.15821,0.000994464,0.000994464,0.000994464
6,37.1567,0.98079,0.8454,1.0677,0.72963,0.68627,0.79986,0.50741,1.16532,2.18981,1.27522,0.0011713,0.0011713,0.0011713
7,43.1195,1.00081,0.82556,1.08778,0.99675,0.96078,0.99247,0.76634,0.87552,1.43139,1.07512,0.00133942,0.00133942,0.00133942
8,49.2967,0.98307,0.82253,1.08625,0.97901,0.91453,0.98705,0.69194,1.00557,1.10219,1.13113,0.00149884,0.00149884,0.00149884
9,61.243,1.03346,0.87531,1.10709,0.97403,0.98039,0.98974,0.7483,0.88605,0.94705,1.06802,0.00164954,0.00164954,0.00164954
10,79.2709,0.92666,0.76428,1.04462,0.97408,0.98039,0.99293,0.77777,0.81061,0.82128,1.07033,0.0016436,0.0016436,0.0016436
11,95.4435,0.86304,0.7229,1.02262,0.96067,1,0.99026,0.76493,0.80754,0.82026,1.06252,0.001604,0.001604,0.001604
12,113.529,0.97422,0.77693,1.07142,0.99914,0.96078,0.99387,0.75326,0.93532,0.86422,1.09613,0.0015644,0.0015644,0.0015644
13,131.584,0.91929,0.7211,1.06351,0.87543,0.98039,0.97404,0.75594,0.82117,0.88923,1.0499,0.0015248,0.0015248,0.0015248
14,138.866,0.90393,0.71016,1.05133,0.97587,1,0.97962,0.73235,0.91779,0.75523,1.09847,0.0014852,0.0014852,0.0014852
15,149.144,0.88736,0.67067,1.03179,1,0.97923,0.99481,0.78412,0.81645,0.69605,1.02267,0.0014456,0.0014456,0.0014456
16,156.525,0.91234,0.65632,1.03792,0.96054,0.95471,0.97761,0.73959,0.86255,0.69968,1.04653,0.001406,0.001406,0.001406
17,164.212,0.89016,0.70348,1.03675,0.98031,0.97622,0.99172,0.76732,0.87079,0.64544,1.03842,0.0013664,0.0013664,0.0013664
18,171.879,0.93525,0.68078,1.04671,0.9978,1,0.995,0.77375,0.83939,0.73782,1.02947,0.0013268,0.0013268,0.0013268
19,179.89,0.89494,0.65239,1.02217,1,0.9982,0.995,0.76674,0.81011,0.75669,1.01463,0.0012872,0.0012872,0.0012872
20,187.332,0.85702,0.6285,1.02911,0.99649,1,0.995,0.77188,0.81697,0.66378,1.0124,0.0012476,0.0012476,0.0012476
21,194.878,0.81844,0.59599,0.99731,0.99694,1,0.995,0.7509,0.81109,0.60896,0.99877,0.001208,0.001208,0.001208
22,202.127,0.84324,0.59752,1.02575,0.97778,1,0.98596,0.78698,0.75409,0.60249,0.97862,0.0011684,0.0011684,0.0011684
23,210.876,0.91083,0.6217,1.04535,0.99373,1,0.995,0.77307,0.75493,0.56643,0.98592,0.0011288,0.0011288,0.0011288
24,217.116,0.83434,0.59002,1.01821,0.99842,1,0.995,0.76919,0.84847,0.57037,1.02547,0.0010892,0.0010892,0.0010892
25,223.202,0.83186,0.57555,1.00127,0.99848,1,0.995,0.81048,0.7376,0.54935,0.98622,0.0010496,0.0010496,0.0010496
26,229.489,0.81902,0.58202,1.00393,0.99789,1,0.995,0.806,0.73897,0.54557,0.98902,0.00101,0.00101,0.00101
27,243.344,0.80544,0.55117,0.9936,0.98021,1,0.995,0.81041,0.73758,0.50799,0.98727,0.0009704,0.0009704,0.0009704
28,261.561,0.77678,0.54252,1.01275,0.9921,1,0.995,0.78304,0.77447,0.52065,0.98694,0.0009308,0.0009308,0.0009308
29,279.669,0.78522,0.5576,1.00762,0.99463,1,0.995,0.77692,0.80781,0.52514,1.00511,0.0008912,0.0008912,0.0008912
30,298.061,0.75323,0.52917,0.97348,0.99844,1,0.995,0.78151,0.78976,0.48385,0.98412,0.0008516,0.0008516,0.0008516
31,316.133,0.74981,0.50675,0.96836,0.99854,1,0.995,0.77732,0.78696,0.46839,0.99597,0.000812,0.000812,0.000812
32,335.184,0.81202,0.52824,1.01702,0.99809,1,0.995,0.77045,0.80204,0.52449,1.00323,0.0007724,0.0007724,0.0007724
33,353.187,0.83266,0.54649,1.02056,0.99768,1,0.995,0.79048,0.74896,0.49353,0.99508,0.0007328,0.0007328,0.0007328
34,371.156,0.7427,0.50881,0.96793,0.99814,1,0.995,0.80276,0.72269,0.46111,0.99664,0.0006932,0.0006932,0.0006932
35,389.517,0.80874,0.52125,0.99759,0.99851,1,0.995,0.78987,0.75251,0.44931,0.99036,0.0006536,0.0006536,0.0006536
